REGISTERED VOTERS PER CONSTITUENCY FOR 2017 GENERAL ELECTIONS,,,,,
COUNTY_CODE,COUNTY_NAME,CONST_CODE,CONSTITUENCY_NAME,VOTERS,NO. OF POLLING
1,MOMBASA,1,CHANGAMWE,"86,331",136
1,MOMBASA,2,JOMVU,"69,307",109
1,MOMBASA,3,KISAUNI,"126,151",198
1,MOMBASA,4,NYALI,"104,017",165
1,MOMBASA,5,LIKONI,"87,326",140
1,MOMBASA,6,MVITA,"107,091",186
2,KWALE,7,MSAMBWENI,"68,621",129
2,KWALE,8,LUNGALUNGA,"56,948",118
2,KWALE,9,MATUGA,"70,366",153
2,KWALE,10,KINANGO,"85,106",212
3,KILIFI,11,KILIFI NORTH,"101,978",182
3,KILIFI,12,KILIFI SOUTH,"84,865",147
3,KILIFI,13,KALOLENI,"60,470",123
3,KILIFI,14,RABAI,"50,332",93
3,KILIFI,15,GANZE,"54,760",132
3,KILIFI,16,MALINDI,"87,210",154
3,KILIFI,17,MAGARINI,"68,453",157
4,TANA RIVER,18,GARSEN,"46,819",113
4,TANA RIVER,19,GALOLE,"33,356",93
4,TANA RIVER,20,BURA,"38,152",101
5,LAMU,21,LAMU EAST,"18,234",45
5,LAMU,22,LAMU WEST,"51,542",122
6,TAITA TAVETA,23,TAVETA,"34,302",79
6,TAITA TAVETA,24,WUNDANYI,"29,911",69
6,TAITA TAVETA,25,MWATATE,"39,031",96
6,TAITA TAVETA,26,VOI,"52,472",110
7,GARISSA,27,GARISSA TOWNSHIP,"54,291",97
7,GARISSA,28,BALAMBALA,"20,145",53
7,GARISSA,29,LAGDERA,"20,547",46
7,GARISSA,30,DADAAB,"25,762",56
7,GARISSA,31,FAFI,"19,883",61
7,GARISSA,32,IJARA,"22,722",68
8,WAJIR,33,WAJIR NORTH,"24,550",76
8,WAJIR,34,WAJIR EAST,"26,964",65
8,WAJIR,35,TARBAJ,"19,699",50
8,WAJIR,36,WAJIR WEST,"27,544",75
8,WAJIR,37,ELDAS,"18,676",49
8,WAJIR,38,WAJIR SOUTH,"45,469",119
9,MANDERA,39,MANDERA WEST,"26,816",58
9,MANDERA,40,BANISSA,"18,476",53
9,MANDERA,41,MANDERA NORTH,"51,231",99
9,MANDERA,42,MANDERA SOUTH,"25,833",71
9,MANDERA,43,MANDERA EAST,"38,965",84
9,MANDERA,44,LAFEY,"14,321",36
10,MARSABIT,45,MOYALE,"55,664",136
10,MARSABIT,46,NORTH HORR,"30,858",101
10,MARSABIT,47,SAKU,"27,082",68
10,MARSABIT,48,LAISAMIS,"28,104",79
11,ISIOLO,49,ISIOLO NORTH,"56,253",140
11,ISIOLO,50,ISIOLO SOUTH,"19,085",55
12,MERU,51,IGEMBE SOUTH,"68,166",144
12,MERU,52,IGEMBE CENTRAL,"83,912",181
12,MERU,53,IGEMBE NORTH,"67,350",151
12,MERU,54,TIGANIA WEST,"64,114",131
12,MERU,55,TIGANIA EAST,"75,920",163
12,MERU,56,NORTH IMENTI,"89,447",177
12,MERU,57,BUURI,"76,033",160
12,MERU,58,CENTRAL IMENTI,"70,124",150
12,MERU,59,SOUTH IMENTI,"107,414",216
13,THARAKA - NITHI,60,MAARA,"68,729",182
13,THARAKA - NITHI,61,CHUKA/IGAMBANG'OMBE,"76,486",225
13,THARAKA - NITHI,62,THARAKA,"67,939",218
14,EMBU,63,MANYATTA,"99,339",226
14,EMBU,64,RUNYENJES,"86,977",185
14,EMBU,65,MBEERE SOUTH,"72,143",177
14,EMBU,66,MBEERE NORTH,"51,009",122
15,KITUI,67,MWINGI NORTH,"61,491",223
15,KITUI,68,MWINGI WEST,"51,849",156
15,KITUI,69,MWINGI CENTRAL,"63,305",194
